
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       772
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING       4548
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       1704
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       7648
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       400
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       872
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       464
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING       972
  TCP    0.0.0.0:49162          0.0.0.0:0              LISTENING       2412
  TCP    0.0.0.0:49163          0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:49185          0.0.0.0:0              LISTENING       448
  TCP    0.0.0.0:55304          0.0.0.0:0              LISTENING       8060
  TCP    0.0.0.0:55305          0.0.0.0:0              LISTENING       4508
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       1536
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       6636
  TCP    127.0.0.1:5939         127.0.0.1:52108        ESTABLISHED     6636
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING       4508
  TCP    127.0.0.1:9990         0.0.0.0:0              LISTENING       1744
  TCP    127.0.0.1:17355        0.0.0.0:0              LISTENING       3340
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       7648
  TCP    127.0.0.1:30666        0.0.0.0:0              LISTENING       2152
  TCP    127.0.0.1:45112        0.0.0.0:0              LISTENING       2152
  TCP    127.0.0.1:49158        127.0.0.1:49159        ESTABLISHED     2152
  TCP    127.0.0.1:49159        127.0.0.1:49158        ESTABLISHED     2152
  TCP    127.0.0.1:49160        127.0.0.1:49161        ESTABLISHED     2152
  TCP    127.0.0.1:49161        127.0.0.1:49160        ESTABLISHED     2152
  TCP    127.0.0.1:49171        127.0.0.1:49172        ESTABLISHED     2152
  TCP    127.0.0.1:49172        127.0.0.1:49171        ESTABLISHED     2152
  TCP    127.0.0.1:49173        127.0.0.1:49174        ESTABLISHED     2152
  TCP    127.0.0.1:49174        127.0.0.1:49173        ESTABLISHED     2152
  TCP    127.0.0.1:52108        127.0.0.1:5939         ESTABLISHED     9116
  TCP    127.0.0.1:52110        127.0.0.1:52111        ESTABLISHED     9116
  TCP    127.0.0.1:52111        127.0.0.1:52110        ESTABLISHED     9116
  TCP    127.0.0.1:54027        0.0.0.0:0              LISTENING       8060
  TCP    127.0.0.1:55215        127.0.0.1:55216        ESTABLISHED     4508
  TCP    127.0.0.1:55216        127.0.0.1:55215        ESTABLISHED     4508
  TCP    127.0.0.1:55217        127.0.0.1:55218        ESTABLISHED     4508
  TCP    127.0.0.1:55218        127.0.0.1:55217        ESTABLISHED     4508
  TCP    127.0.0.1:55271        0.0.0.0:0              LISTENING       4508
  TCP    127.0.0.1:55271        127.0.0.1:57363        ESTABLISHED     4508
  TCP    127.0.0.1:55305        127.0.0.1:57457        ESTABLISHED     4508
  TCP    127.0.0.1:55401        127.0.0.1:55271        TIME_WAIT       0
  TCP    127.0.0.1:57161        127.0.0.1:57162        TIME_WAIT       0
  TCP    127.0.0.1:57165        127.0.0.1:55271        TIME_WAIT       0
  TCP    127.0.0.1:57255        127.0.0.1:55305        TIME_WAIT       0
  TCP    127.0.0.1:57274        127.0.0.1:55305        TIME_WAIT       0
  TCP    127.0.0.1:57342        127.0.0.1:55305        TIME_WAIT       0
  TCP    127.0.0.1:57348        127.0.0.1:55304        TIME_WAIT       0
  TCP    127.0.0.1:57358        127.0.0.1:57359        ESTABLISHED     7300
  TCP    127.0.0.1:57359        127.0.0.1:57358        ESTABLISHED     7300
  TCP    127.0.0.1:57363        127.0.0.1:55271        ESTABLISHED     7300
  TCP    127.0.0.1:57457        127.0.0.1:55305        ESTABLISHED     8060
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       4508
  TCP    192.168.0.103:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.103:50108    216.58.209.13:443      CLOSE_WAIT      2324
  TCP    192.168.0.103:54603    52.0.252.187:4244      ESTABLISHED     2152
  TCP    192.168.0.103:54857    216.58.215.106:443     CLOSE_WAIT      2324
  TCP    192.168.0.103:54858    172.217.16.13:443      CLOSE_WAIT      2324
  TCP    192.168.0.103:55181    185.223.94.16:88       ESTABLISHED     8800
  TCP    192.168.0.103:55344    172.217.16.42:443      CLOSE_WAIT      2324
  TCP    192.168.0.103:55356    151.101.84.215:443     CLOSE_WAIT      8060
  TCP    192.168.0.103:55407    151.101.84.215:443     CLOSE_WAIT      8060
  TCP    192.168.0.103:55408    151.101.84.215:443     CLOSE_WAIT      8060
  TCP    192.168.0.103:55409    151.101.84.215:443     CLOSE_WAIT      8060
  TCP    192.168.0.103:55410    151.101.84.215:443     CLOSE_WAIT      8060
  TCP    192.168.0.103:55768    149.154.167.220:443    CLOSE_WAIT      2256
  TCP    192.168.0.103:56113    188.172.235.143:5938   ESTABLISHED     6636
  TCP    192.168.0.103:56265    216.58.209.13:443      CLOSE_WAIT      2324
  TCP    192.168.0.103:56301    64.233.162.188:5228    ESTABLISHED     8800
  TCP    192.168.0.103:56650    185.223.94.14:88       ESTABLISHED     8800
  TCP    192.168.0.103:57076    40.77.226.194:443      ESTABLISHED     6640
  TCP    192.168.0.103:57096    216.58.215.74:443      CLOSE_WAIT      2324
  TCP    192.168.0.103:57100    216.58.215.74:443      ESTABLISHED     2324
  TCP    192.168.0.103:57218    13.32.220.221:443      TIME_WAIT       0
  TCP    192.168.0.103:57224    34.247.146.28:443      ESTABLISHED     2152
  TCP    192.168.0.103:57232    149.154.167.220:443    TIME_WAIT       0
  TCP    192.168.0.103:57253    13.81.211.255:443      TIME_WAIT       0
  TCP    192.168.0.103:57254    68.232.34.200:443      TIME_WAIT       0
  TCP    192.168.0.103:57265    40.77.226.194:443      TIME_WAIT       0
  TCP    192.168.0.103:57276    149.5.244.164:443      TIME_WAIT       0
  TCP    192.168.0.103:57287    64.233.167.94:80       TIME_WAIT       0
  TCP    192.168.0.103:57301    52.166.160.21:443      TIME_WAIT       0
  TCP    192.168.0.103:57349    52.114.132.22:443      TIME_WAIT       0
  TCP    192.168.0.103:57351    216.58.209.10:443      ESTABLISHED     2324
  TCP    192.168.0.103:57391    149.154.167.220:443    ESTABLISHED     2256
  TCP    192.168.0.103:57392    52.114.132.22:443      TIME_WAIT       0
  TCP    192.168.0.103:57393    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57395    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57396    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57397    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57398    40.114.211.99:443      TIME_WAIT       0
  TCP    192.168.0.103:57399    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57401    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57402    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57403    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57405    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57406    136.243.102.87:3306    TIME_WAIT       0
  TCP    192.168.0.103:57410    13.32.220.221:443      TIME_WAIT       0
  TCP    192.168.0.103:57412    216.58.215.109:443     CLOSE_WAIT      2324
  TCP    192.168.0.103:57422    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57423    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57424    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57425    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57427    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57428    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57429    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57430    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57431    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57432    141.8.195.124:80       TIME_WAIT       0
  TCP    192.168.0.103:57435    95.163.105.101:80      TIME_WAIT       0
  TCP    192.168.0.103:57436    195.201.243.71:80      TIME_WAIT       0
  TCP    192.168.0.103:57441    216.58.215.98:80       TIME_WAIT       0
  TCP    192.168.0.103:57442    52.114.132.22:443      TIME_WAIT       0
  TCP    192.168.0.103:57450    40.77.226.194:443      ESTABLISHED     6640
  TCP    192.168.0.103:57459    5.255.255.55:80        SYN_SENT        8800
  TCP    192.168.0.103:57460    87.250.250.119:443     SYN_SENT        8800
  TCP    192.168.0.103:57461    87.250.250.119:443     SYN_SENT        8800
  TCP    192.168.0.103:57462    5.255.255.55:80        SYN_SENT        8800
  TCP    192.168.0.103:57463    162.244.35.50:34821    SYN_SENT        8800
  TCP    192.168.0.103:57466    52.136.227.174:443     ESTABLISHED     6640
  TCP    192.168.0.103:57467    195.201.243.71:80      CLOSE_WAIT      8800
  TCP    192.168.0.103:57627    64.233.165.125:5222    ESTABLISHED     2324
  TCP    192.168.0.103:60107    13.69.188.18:443       ESTABLISHED     6380
  TCP    192.168.0.103:62337    216.58.215.106:443     CLOSE_WAIT      2324
  TCP    192.168.0.103:62961    149.154.167.51:443     ESTABLISHED     8104
  TCP    192.168.0.103:63067    3.120.198.117:443      ESTABLISHED     2684
  TCP    192.168.0.103:64952    162.254.197.180:443    ESTABLISHED     7648
  TCP    [::]:135               [::]:0                 LISTENING       772
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:554               [::]:0                 LISTENING       4548
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:10243             [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       400
  TCP    [::]:49153             [::]:0                 LISTENING       872
  TCP    [::]:49154             [::]:0                 LISTENING       464
  TCP    [::]:49155             [::]:0                 LISTENING       972
  TCP    [::]:49162             [::]:0                 LISTENING       2412
  TCP    [::]:49163             [::]:0                 LISTENING       1340
  TCP    [::]:49185             [::]:0                 LISTENING       448
  TCP    [::]:55304             [::]:0                 LISTENING       8060
  TCP    [::1]:445              [::1]:52916            ESTABLISHED     4
  TCP    [::1]:52916            [::1]:445              ESTABLISHED     4
  UDP    0.0.0.0:3702           *:*                                    1588
  UDP    0.0.0.0:3702           *:*                                    928
  UDP    0.0.0.0:3702           *:*                                    1588
  UDP    0.0.0.0:3702           *:*                                    928
  UDP    0.0.0.0:5004           *:*                                    4548
  UDP    0.0.0.0:5005           *:*                                    4548
  UDP    0.0.0.0:5353           *:*                                    5960
  UDP    0.0.0.0:5355           *:*                                    752
  UDP    0.0.0.0:27036          *:*                                    7648
  UDP    0.0.0.0:49509          *:*                                    6636
  UDP    0.0.0.0:50997          *:*                                    8800
  UDP    0.0.0.0:51124          *:*                                    8800
  UDP    0.0.0.0:51818          *:*                                    6380
  UDP    0.0.0.0:52306          *:*                                    8800
  UDP    0.0.0.0:56789          *:*                                    8800
  UDP    0.0.0.0:57002          *:*                                    928
  UDP    0.0.0.0:57594          *:*                                    1536
  UDP    0.0.0.0:57596          *:*                                    1588
  UDP    0.0.0.0:58755          *:*                                    8800
  UDP    127.0.0.1:1900         *:*                                    1588
  UDP    127.0.0.1:48200        *:*                                    1792
  UDP    127.0.0.1:48201        *:*                                    2172
  UDP    127.0.0.1:51048        *:*                                    1588
  UDP    192.168.0.103:137      *:*                                    4
  UDP    192.168.0.103:138      *:*                                    4
  UDP    192.168.0.103:1900     *:*                                    1588
  UDP    192.168.0.103:5353     *:*                                    1536
  UDP    192.168.0.103:5353     *:*                                    6636
  UDP    192.168.0.103:51047    *:*                                    1588
  UDP    [::]:3702              *:*                                    1588
  UDP    [::]:3702              *:*                                    928
  UDP    [::]:3702              *:*                                    928
  UDP    [::]:3702              *:*                                    1588
  UDP    [::]:5004              *:*                                    4548
  UDP    [::]:5005              *:*                                    4548
  UDP    [::]:27036             *:*                                    7648
  UDP    [::]:49510             *:*                                    6636
  UDP    [::]:51818             *:*                                    6380
  UDP    [::]:57003             *:*                                    928
  UDP    [::]:57595             *:*                                    1536
  UDP    [::]:57597             *:*                                    1588
  UDP    [::1]:1900             *:*                                    1588
  UDP    [::1]:5353             *:*                                    6636
  UDP    [::1]:51046            *:*                                    1588
